Customer Order Number,Color,Size,Flavor,Package Type,Qty (pack unit)
E2831778,Color Agent12,S5,F9,Bag,6092
E2856600,Color Agent29,S3,F11,Box,810
E2864412,Color Agent26,S2,F8,Bag,7572
E2927703,Color Agent11,S5,F11,Box,690
E2937964,Color Agent12,S1,F8,Bag,5532
E2992209,Color Agent24,S2,F3,Bag,9024
E3004635,Color Agent15,S2,F3,Box,1115
E3038046,Color Agent38,S1,F3,Box,712
E3061065,Color Agent11,S4,F8,Bag,5128
E3076351,Color Agent36,S2,F1,Box,385
E3080648,Color Agent27,S5,F12,Box,472
E3122045,Color Agent3,S2,F6,Box,422
E3139662,Color Agent6,S1,F3,Bag,6832
E3143054,Color Agent22,S5,F10,Bag,16940
E3186093,Color Agent29,S4,F7,Bag,14904
E3194791,Color Agent4,S3,F7,Bag,8948
E3196351,Color Agent40,S2,F10,Bag,9800
E3222980,Color Agent18,S3,F3,Bag,11848
E3273150,Color Agent12,S1,F6,Box,554
E3409339,Color Agent38,S2,F3,Box,892
E3470114,Color Agent11,S1,F2,Bag,5748
E3498476,Color Agent38,S1,F8,Bag,7464
E3542109,Color Agent4,S4,F12,Box,571
E3548455,Color Agent13,S5,F4,Bag,7036
E3575596,Color Agent31,S1,F10,Bag,5504
E3619121,Color Agent23,S2,F9,Bag,8400
E3635513,Color Agent19,S4,F10,Bag,8616
E3668758,Color Agent21,S4,F8,Bag,4984
E3694282,Color Agent36,S5,F5,Bag,7676
E3703625,Color Agent39,S4,F6,Bag,7856
E3731211,Color Agent23,S5,F7,Bag,6832
E3771158,Color Agent10,S3,F7,Bag,7540
E3775546,Color Agent31,S5,F12,Bag,8092
E3801859,Color Agent15,S5,F9,Bag,7324
E3963326,Color Agent26,S2,F12,Bag,9028
E3979447,Color Agent29,S5,F9,Bag,5908
E4000806,Color Agent24,S2,F7,Bag,8668
E4070016,Color Agent26,S4,F5,Box,1199
E4148562,Color Agent5,S5,F2,Box,1550
E4193681,Color Agent20,S5,F8,Bag,3952
E4243299,Color Agent8,S1,F2,Box,599
E4246003,Color Agent31,S5,F3,Bag,7960
E4311676,Color Agent15,S4,F11,Bag,8540
E4331811,Color Agent21,S4,F12,Bag,7444
E4340527,Color Agent10,S4,F4,Bag,7188
E4398083,Color Agent8,S4,F11,Box,634
E4411390,Color Agent40,S1,F1,Bag,3952
E4412007,Color Agent20,S1,F7,Bag,3988
E4428761,Color Agent24,S4,F1,Box,481
E4463733,Color Agent37,S3,F3,Bag,6880
E4464609,Color Agent1,S4,F8,Bag,6356
E4471582,Color Agent23,S4,F1,Box,904
E4532469,Color Agent6,S1,F4,Bag,7728
E4557584,Color Agent27,S4,F7,Box,924
E4559372,Color Agent19,S1,F10,Bag,6012
E4584888,Color Agent14,S2,F7,Bag,4624
E4602184,Color Agent1,S2,F8,Box,800
E4617252,Color Agent25,S5,F11,Bag,9000
E4646920,Color Agent22,S4,F1,Bag,9528
E4671775,Color Agent2,S5,F9,Bag,7588
E4689553,Color Agent36,S3,F1,Bag,5104
E4705682,Color Agent32,S2,F10,Bag,7196
E4712564,Color Agent2,S2,F11,Bag,10128
E4713006,Color Agent24,S5,F12,Box,562
E4737986,Color Agent14,S1,F1,Bag,27384
E4780120,Color Agent30,S1,F3,Box,807
E4782386,Color Agent9,S1,F6,Bag,10776
E4806123,Color Agent2,S2,F6,Box,519
E4838229,Color Agent11,S5,F10,Box,640
E4876946,Color Agent34,S2,F11,Bag,4316
E4926697,Color Agent7,S3,F10,Box,1145
E4946819,Color Agent10,S5,F2,Box,595
E4980378,Color Agent40,S1,F10,Box,1086
E5014576,Color Agent28,S1,F12,Bag,14852
E5055945,Color Agent32,S5,F3,Bag,4184
E5069855,Color Agent27,S4,F3,Bag,13688
E5075024,Color Agent3,S3,F5,Bag,7176
E5102256,Color Agent16,S1,F2,Bag,5312
E5107248,Color Agent22,S2,F11,Bag,8440
E5164688,Color Agent36,S3,F2,Bag,13124
E5184866,Color Agent17,S5,F3,Bag,8008
E5199481,Color Agent9,S1,F7,Box,1025
E5218904,Color Agent2,S5,F2,Box,854
E5305930,Color Agent29,S3,F1,Bag,6444
E5343887,Color Agent4,S1,F1,Bag,6672
E5404365,Color Agent14,S4,F6,Bag,6100
E5428903,Color Agent22,S2,F3,Box,1008
E5513350,Color Agent18,S3,F9,Box,634
E5530528,Color Agent3,S3,F1,Box,1153
E5537903,Color Agent32,S5,F6,Bag,6224
E5550511,Color Agent1,S4,F3,Bag,8600
E5566923,Color Agent29,S2,F7,Bag,9868
E5580078,Color Agent4,S3,F4,Bag,17712
E5583656,Color Agent37,S2,F4,Bag,9636
E5630800,Color Agent29,S3,F9,Bag,9404
E5682581,Color Agent29,S3,F1,Bag,8952
E5702881,Color Agent34,S5,F3,Bag,10196
E5727470,Color Agent40,S2,F9,Box,1046
E5734225,Color Agent4,S4,F4,Bag,7212
E5758074,Color Agent17,S4,F8,Bag,9912
E5787837,Color Agent25,S2,F6,Bag,13564
E5788653,Color Agent27,S1,F3,Box,812
E5796540,Color Agent17,S2,F3,Box,906
E5814736,Color Agent34,S1,F12,Box,430
E5820742,Color Agent3,S4,F11,Bag,9204
E5827871,Color Agent11,S4,F6,Bag,3900
E5839981,Color Agent30,S1,F5,Bag,8464
E5871091,Color Agent17,S2,F4,Bag,18012
E5876891,Color Agent4,S4,F3,Box,805
E5887376,Color Agent19,S4,F7,Box,721
E5909229,Color Agent31,S4,F12,Box,510
E5926871,Color Agent15,S3,F1,Bag,4060
E5953587,Color Agent23,S4,F11,Box,558
E6012146,Color Agent27,S4,F8,Box,740
E6019031,Color Agent17,S3,F10,Bag,10080
E6081083,Color Agent22,S3,F3,Bag,3720
E6094003,Color Agent33,S1,F1,Box,733
E6110643,Color Agent20,S4,F7,Bag,10004
E6114170,Color Agent9,S3,F2,Bag,9060
E6126830,Color Agent38,S5,F10,Bag,9108
E6160073,Color Agent38,S4,F12,Bag,10120
E6194007,Color Agent25,S5,F3,Box,1127
E6205121,Color Agent27,S1,F3,Bag,5844
E6206831,Color Agent9,S4,F9,Bag,11732
E6221351,Color Agent23,S5,F7,Bag,8692
E6290313,Color Agent28,S5,F1,Box,759
E6299124,Color Agent33,S5,F9,Bag,6664
E6323928,Color Agent7,S2,F12,Bag,6664
E6388847,Color Agent27,S4,F8,Bag,6904
E6426516,Color Agent11,S4,F11,Bag,5092
E6432710,Color Agent19,S4,F6,Box,1320
E6437168,Color Agent33,S1,F6,Box,833
E6495908,Color Agent5,S3,F2,Box,942
E6522370,Color Agent37,S1,F6,Bag,5088
E6526977,Color Agent12,S2,F4,Box,672
E6537190,Color Agent4,S4,F6,Bag,4724
E6553876,Color Agent23,S1,F9,Bag,9412
E6581983,Color Agent25,S3,F11,Box,1253
E6620479,Color Agent7,S4,F8,Box,594
E6635319,Color Agent5,S5,F3,Bag,13664
E6655939,Color Agent14,S5,F7,Bag,8252
E6679366,Color Agent27,S4,F4,Bag,8468
E6704805,Color Agent39,S2,F12,Box,1562
E6717608,Color Agent20,S4,F3,Bag,11916
E6733855,Color Agent38,S1,F7,Bag,11856
E6737115,Color Agent33,S2,F10,Box,628
E6807577,Color Agent4,S3,F2,Box,1088
E6822802,Color Agent26,S3,F6,Box,703
E6828319,Color Agent40,S4,F12,Bag,6412
E6971287,Color Agent15,S1,F6,Box,1038
E6992411,Color Agent8,S4,F12,Bag,10132
E7042606,Color Agent10,S2,F9,Bag,7032
E7044215,Color Agent12,S5,F1,Bag,6056
E7057350,Color Agent20,S1,F10,Bag,4716
E7084590,Color Agent14,S1,F9,Bag,7332
E7090698,Color Agent29,S5,F6,Box,1329
E7110052,Color Agent7,S5,F10,Box,772
E7110871,Color Agent20,S3,F10,Bag,5436
E7123408,Color Agent38,S3,F12,Bag,5516
E7127546,Color Agent36,S4,F1,Bag,11920
E7183393,Color Agent1,S3,F8,Bag,16080
E7201708,Color Agent10,S2,F11,Box,1056
E7204032,Color Agent36,S5,F11,Box,679
E7249157,Color Agent24,S5,F11,Box,714
E7251038,Color Agent18,S1,F10,Box,1754
E7270913,Color Agent6,S1,F2,Bag,5248
E7319766,Color Agent13,S4,F8,Box,726
E7320938,Color Agent25,S3,F7,Bag,6028
E7349440,Color Agent11,S2,F11,Bag,10028
E7351009,Color Agent34,S1,F9,Box,509
E7352223,Color Agent14,S3,F4,Bag,15588
E7360921,Color Agent34,S5,F1,Bag,3540
E7381315,Color Agent39,S1,F1,Bag,5396
E7476140,Color Agent27,S5,F9,Bag,4112
E7505295,Color Agent30,S4,F8,Bag,10668
E7542257,Color Agent38,S1,F6,Box,736
E7561645,Color Agent16,S3,F1,Box,728
E7605865,Color Agent5,S5,F6,Box,908
E7690594,Color Agent35,S4,F1,Bag,4100
E7732474,Color Agent20,S4,F5,Bag,10640
E7735400,Color Agent10,S4,F10,Box,2528
E7751314,Color Agent27,S3,F10,Box,859
E7769473,Color Agent29,S3,F8,Bag,6216
E7806757,Color Agent39,S4,F1,Box,865
E7821322,Color Agent27,S4,F1,Bag,5664
E7832001,Color Agent15,S2,F7,Bag,5120
E7838713,Color Agent20,S3,F5,Bag,6968
E7846069,Color Agent33,S4,F2,Bag,5144
E7861464,Color Agent16,S1,F4,Bag,9164
E7875401,Color Agent39,S5,F2,Bag,6704
E7885819,Color Agent3,S5,F4,Bag,6184
E7923620,Color Agent30,S3,F2,Bag,12640
E7926736,Color Agent5,S2,F10,Bag,5116
E7935243,Color Agent22,S3,F9,Bag,4876
E7943424,Color Agent27,S4,F11,Box,687
E7949621,Color Agent33,S1,F9,Bag,6792
E7955058,Color Agent20,S3,F2,Box,328
E7984500,Color Agent33,S2,F6,Bag,5768
E7999440,Color Agent24,S5,F2,Box,780
E8055202,Color Agent34,S1,F9,Box,663
E8068166,Color Agent30,S4,F11,Box,778
E8088816,Color Agent18,S5,F10,Bag,4896
E8134858,Color Agent7,S1,F9,Bag,8196
E8150394,Color Agent30,S1,F3,Box,1126
E8158050,Color Agent14,S2,F5,Bag,3676
E8162883,Color Agent22,S4,F5,Bag,12788
E8171457,Color Agent6,S1,F2,Box,877
E8189175,Color Agent9,S4,F7,Bag,7284
E8217041,Color Agent13,S2,F12,Box,632
E8217512,Color Agent16,S5,F4,Box,1044
E8316394,Color Agent29,S3,F2,Box,361
E8341870,Color Agent25,S4,F1,Bag,6844
E8384457,Color Agent18,S3,F2,Box,626
E8389639,Color Agent6,S1,F5,Bag,7552
E8426911,Color Agent32,S1,F4,Bag,4340
E8429421,Color Agent4,S3,F1,Bag,11752
E8446661,Color Agent31,S2,F3,Bag,8400
E8453514,Color Agent17,S1,F7,Box,831
E8475495,Color Agent26,S3,F12,Box,858
E8604616,Color Agent9,S2,F6,Box,1186
E8644996,Color Agent18,S4,F5,Bag,7656
E8678227,Color Agent32,S4,F11,Bag,7604
E8758344,Color Agent25,S5,F6,Bag,8008
E8798372,Color Agent11,S5,F9,Bag,9184
E8868134,Color Agent13,S4,F8,Box,1127
E8906442,Color Agent27,S2,F9,Bag,5020
E8916201,Color Agent40,S5,F6,Bag,9932
E8940616,Color Agent1,S5,F9,Box,578
E8947546,Color Agent28,S2,F8,Bag,6248
E8952375,Color Agent4,S1,F10,Bag,8300
E8953452,Color Agent11,S1,F12,Bag,9608
E8978906,Color Agent1,S4,F8,Bag,7572
E9002542,Color Agent8,S5,F5,Bag,10884
E9023329,Color Agent12,S4,F6,Bag,4984
E9110518,Color Agent5,S5,F2,Bag,6568
E9121775,Color Agent14,S5,F11,Box,2026
E9124583,Color Agent15,S4,F1,Box,434
E9161311,Color Agent12,S4,F5,Box,545
E9173659,Color Agent10,S5,F3,Bag,14308
E9178265,Color Agent6,S1,F4,Bag,5524
E9199642,Color Agent2,S3,F7,Bag,4080
E9201476,Color Agent26,S3,F8,Bag,9888
E9228908,Color Agent18,S4,F11,Bag,9132
E9254470,Color Agent28,S1,F7,Bag,6400
E9271935,Color Agent33,S5,F3,Bag,8916
E9300425,Color Agent15,S3,F12,Bag,5748
E9319360,Color Agent14,S5,F11,Bag,6020
E9325014,Color Agent28,S3,F6,Bag,10192
E9334046,Color Agent30,S5,F12,Bag,7608
E9346357,Color Agent1,S2,F10,Box,810
E9392384,Color Agent8,S1,F3,Bag,12656
E9395773,Color Agent1,S1,F2,Bag,5796
E9395924,Color Agent31,S3,F9,Bag,5080
E9414605,Color Agent36,S2,F10,Box,1112
E9435491,Color Agent8,S2,F5,Bag,5616
E9441047,Color Agent6,S4,F4,Bag,5000
E9444224,Color Agent14,S4,F2,Box,594
E9486927,Color Agent17,S4,F3,Box,1062
E9493070,Color Agent3,S4,F3,Bag,13584
E9503016,Color Agent4,S2,F2,Bag,14652
E9509057,Color Agent13,S5,F11,Bag,4996
E9568609,Color Agent21,S1,F1,Box,744
E9583752,Color Agent38,S5,F1,Box,837
E9602937,Color Agent22,S4,F5,Bag,7380
E9612846,Color Agent16,S3,F9,Bag,5056
E9614096,Color Agent30,S3,F6,Bag,6808
E9615460,Color Agent10,S1,F5,Box,800
E9669647,Color Agent11,S5,F9,Bag,5988
E9674934,Color Agent30,S5,F4,Bag,7568
E9682943,Color Agent19,S2,F3,Bag,10044
E9703047,Color Agent24,S1,F6,Bag,5076
E9737173,Color Agent7,S2,F9,Bag,10212
E9783516,Color Agent34,S5,F9,Box,447
E9784867,Color Agent38,S3,F10,Box,452
E9796132,Color Agent12,S3,F7,Box,962
E9802475,Color Agent37,S1,F7,Box,838
E9805553,Color Agent8,S1,F2,Box,1311
E9834566,Color Agent18,S1,F2,Bag,3248
E9835800,Color Agent9,S3,F3,Bag,4084
E9839195,Color Agent2,S4,F12,Box,215
E9842436,Color Agent11,S5,F12,Bag,8792
E9901782,Color Agent38,S2,F9,Box,452
E9914953,Color Agent9,S2,F2,Box,874
E9923967,Color Agent23,S1,F9,Box,852
E9935394,Color Agent18,S4,F11,Box,964
E9937680,Color Agent31,S5,F6,Bag,6028
E9955058,Color Agent29,S3,F3,Bag,12004
F0012525,Color Agent23,S1,F10,Bag,8388
F0055056,Color Agent16,S1,F12,Bag,7916
F0151113,Color Agent7,S1,F3,Bag,5768
F0170526,Color Agent31,S4,F11,Box,924
F0243676,Color Agent18,S4,F9,Box,1457
F0261203,Color Agent31,S5,F2,Box,1154
F0270110,Color Agent38,S4,F5,Bag,10884
F0284007,Color Agent29,S5,F8,Bag,5928
F0312150,Color Agent37,S1,F11,Box,856
F0331527,Color Agent17,S3,F8,Box,625
F0389885,Color Agent25,S1,F4,Box,498
F0429140,Color Agent19,S1,F1,Bag,4040
F0452881,Color Agent26,S4,F6,Bag,7732
F0475016,Color Agent40,S4,F8,Box,765
F0487574,Color Agent27,S3,F3,Bag,5912
F0512231,Color Agent38,S4,F8,Bag,13128
F0518407,Color Agent32,S2,F5,Bag,6780
F0522731,Color Agent2,S3,F6,Box,772
F0551176,Color Agent37,S2,F6,Box,1286
F0560685,Color Agent27,S2,F3,Bag,8464
F0573599,Color Agent30,S5,F12,Box,488
F0578473,Color Agent29,S2,F7,Bag,5772
F0592996,Color Agent29,S2,F6,Box,1691
F0683522,Color Agent2,S2,F4,Box,455
F0701621,Color Agent19,S3,F2,Box,1108
F0738800,Color Agent21,S2,F4,Box,394
F0774592,Color Agent20,S3,F10,Bag,5864
F0807128,Color Agent25,S1,F12,Bag,12912
F0842363,Color Agent3,S3,F7,Box,867
F0845311,Color Agent30,S3,F5,Bag,5368
F0883493,Color Agent25,S5,F2,Bag,5712
F0916769,Color Agent9,S5,F5,Bag,4984
F0980850,Color Agent29,S3,F4,Box,768
F0999368,Color Agent11,S5,F9,Bag,7120
F1006938,Color Agent26,S5,F5,Box,828
F1017130,Color Agent38,S1,F11,Bag,6608
F1077509,Color Agent32,S2,F9,Bag,7528
F1100154,Color Agent23,S1,F11,Bag,8024
F1123348,Color Agent19,S5,F2,Bag,5068
F1135598,Color Agent17,S5,F12,Bag,8608
F1143762,Color Agent1,S1,F1,Bag,11692
F1147442,Color Agent11,S1,F1,Bag,11816
F1155506,Color Agent10,S3,F10,Bag,10612
F1179614,Color Agent39,S1,F7,Bag,9444
F1247875,Color Agent34,S2,F9,Bag,9352
F1253674,Color Agent20,S4,F10,Bag,11624
F1275223,Color Agent7,S1,F4,Bag,13440
F1369284,Color Agent17,S4,F6,Box,663
F1435578,Color Agent17,S2,F3,Bag,10860
F1628589,Color Agent34,S1,F12,Box,652
F1708424,Color Agent14,S4,F7,Box,477
F1724549,Color Agent30,S2,F2,Bag,7660
F1820753,Color Agent2,S4,F10,Bag,3800
F1863964,Color Agent11,S4,F12,Bag,15172
F1868719,Color Agent27,S3,F10,Bag,11956
F1896859,Color Agent28,S2,F2,Bag,6288
F1902036,Color Agent14,S3,F8,Bag,5568
F1915051,Color Agent7,S4,F6,Bag,6400
F1980526,Color Agent18,S3,F6,Box,424
F2036560,Color Agent8,S1,F8,Bag,6736
F2065793,Color Agent6,S3,F2,Bag,7652
F2093431,Color Agent36,S1,F10,Box,682
F2094443,Color Agent18,S2,F3,Box,630
F2106509,Color Agent28,S1,F12,Bag,4108
F2109477,Color Agent21,S2,F10,Bag,6396
F2144897,Color Agent33,S5,F6,Bag,8576
F2188110,Color Agent24,S2,F8,Bag,3844
F2192015,Color Agent1,S5,F9,Box,482
F2207023,Color Agent5,S5,F11,Bag,9268
F2210602,Color Agent14,S4,F12,Bag,5700
F2259355,Color Agent28,S2,F8,Box,266
F2361938,Color Agent30,S4,F2,Bag,4612
F2380141,Color Agent12,S3,F8,Bag,11832
F2407009,Color Agent13,S1,F11,Box,778
F2416956,Color Agent39,S5,F2,Bag,4312
F2419146,Color Agent22,S4,F10,Bag,4884
F2470245,Color Agent10,S2,F8,Box,1164
F2490217,Color Agent18,S3,F10,Bag,9864
F2501061,Color Agent36,S4,F6,Bag,4240
F2556376,Color Agent39,S3,F1,Bag,6672
F2569904,Color Agent10,S5,F9,Box,454
F2576497,Color Agent8,S3,F1,Bag,13672
F2589199,Color Agent31,S5,F5,Box,1050
F2607222,Color Agent11,S5,F1,Bag,9860
F2668302,Color Agent39,S1,F5,Bag,8636
F2669277,Color Agent28,S1,F12,Bag,4832
F2671086,Color Agent34,S1,F6,Bag,8116
F2672499,Color Agent16,S5,F7,Bag,8988
F2691377,Color Agent33,S1,F8,Bag,11152
F2706396,Color Agent14,S2,F3,Bag,6564
F2715004,Color Agent16,S5,F1,Bag,7556
F2759788,Color Agent6,S5,F4,Bag,12728
F2784287,Color Agent4,S4,F5,Bag,6812
F2787705,Color Agent25,S3,F5,Bag,9292
F2792893,Color Agent18,S4,F12,Box,995
F2823776,Color Agent5,S4,F11,Box,680
F2899113,Color Agent1,S2,F4,Box,679
F2951789,Color Agent23,S1,F7,Bag,11256
F2996808,Color Agent28,S4,F1,Bag,5848
F3022037,Color Agent15,S1,F8,Bag,2640
F3099034,Color Agent37,S1,F6,Box,324
F3109484,Color Agent15,S4,F9,Bag,6044
F3140028,Color Agent8,S2,F2,Bag,6448
F3147124,Color Agent37,S1,F2,Box,505
F3153950,Color Agent10,S1,F1,Bag,7588
F3159636,Color Agent24,S4,F3,Bag,6304
F3162744,Color Agent36,S1,F8,Bag,14576
F3200896,Color Agent33,S5,F9,Bag,11252
F3217401,Color Agent28,S4,F5,Box,675
F3255809,Color Agent27,S2,F10,Bag,4920
F3310861,Color Agent3,S4,F2,Bag,17472
F3313998,Color Agent33,S4,F3,Box,970
F3321224,Color Agent9,S3,F10,Box,2324
F3336341,Color Agent24,S3,F1,Bag,7892
F3344563,Color Agent39,S1,F11,Bag,7464
F3356680,Color Agent10,S2,F4,Box,591
F3366200,Color Agent36,S2,F5,Box,863
F3406136,Color Agent8,S2,F4,Box,648
F3414309,Color Agent26,S3,F11,Bag,8156
F3457819,Color Agent39,S1,F4,Bag,4780
F3485942,Color Agent29,S3,F4,Bag,5768
F3505396,Color Agent12,S1,F2,Box,1252
F3577020,Color Agent34,S2,F11,Bag,8248
F3610240,Color Agent29,S1,F11,Box,974
F3623506,Color Agent4,S4,F9,Bag,5876
F3626065,Color Agent16,S4,F5,Bag,6284
F3658061,Color Agent9,S4,F6,Bag,4316
F3666476,Color Agent16,S1,F4,Bag,7352
F3673465,Color Agent38,S3,F6,Bag,5212
F3684948,Color Agent33,S3,F6,Box,631
F3692207,Color Agent36,S3,F7,Bag,7660
F3704524,Color Agent23,S5,F5,Bag,5588
F3708198,Color Agent19,S1,F2,Bag,5096
F3738335,Color Agent5,S1,F7,Box,1196
F3747025,Color Agent16,S5,F8,Bag,9524
F3760093,Color Agent29,S3,F2,Bag,4160
F3801025,Color Agent33,S1,F7,Bag,7776
F3805665,Color Agent35,S1,F1,Bag,3576
F3865951,Color Agent18,S3,F4,Box,1065
F3875122,Color Agent8,S1,F8,Box,754
F3879836,Color Agent9,S4,F7,Box,388
F3883209,Color Agent16,S4,F10,Bag,9480
F3923396,Color Agent10,S1,F6,Bag,9348
F3992007,Color Agent38,S2,F7,Bag,14556
F3996748,Color Agent40,S2,F1,Bag,9696
F4003412,Color Agent32,S4,F5,Bag,7620
F4034504,Color Agent39,S5,F4,Box,779
F4061029,Color Agent6,S2,F3,Bag,7820
F4076568,Color Agent28,S4,F4,Box,643
F4097737,Color Agent22,S1,F2,Bag,8428
F4115772,Color Agent27,S5,F9,Box,1361
F4147585,Color Agent19,S2,F10,Bag,5804
F4162110,Color Agent29,S4,F2,Bag,14832
F4193517,Color Agent29,S4,F2,Bag,6104
F4193818,Color Agent25,S5,F7,Bag,6932
F4194247,Color Agent24,S4,F2,Bag,7440
F4208134,Color Agent34,S4,F7,Bag,16276
F4213489,Color Agent25,S2,F4,Bag,5444
F4254421,Color Agent14,S3,F12,Bag,5492
F4348019,Color Agent39,S1,F3,Bag,4968
F4350667,Color Agent27,S5,F5,Box,924
F4359727,Color Agent1,S5,F1,Bag,9964
F4364270,Color Agent23,S2,F10,Bag,9684
F4364378,Color Agent10,S2,F2,Bag,7752
F4428905,Color Agent3,S2,F7,Box,1607
F4453232,Color Agent31,S3,F3,Bag,7684
F4503334,Color Agent7,S4,F4,Bag,9192
F4520208,Color Agent21,S2,F8,Box,706
F4578812,Color Agent15,S5,F4,Bag,5132
F4635829,Color Agent26,S3,F10,Bag,12680
F4639809,Color Agent33,S5,F1,Bag,9196
F4672422,Color Agent7,S3,F3,Bag,7504
F4719541,Color Agent23,S3,F7,Bag,9080
F4749153,Color Agent22,S4,F8,Box,288
F4833682,Color Agent27,S3,F4,Box,1100
F4883414,Color Agent28,S3,F9,Bag,4268
F4918330,Color Agent2,S5,F6,Box,1229
F4923186,Color Agent9,S2,F9,Bag,9232
F4977633,Color Agent40,S2,F7,Box,1160
F5036091,Color Agent10,S5,F5,Box,641
F5067601,Color Agent6,S3,F10,Bag,9584
F5122969,Color Agent9,S2,F11,Bag,9152
F5163286,Color Agent23,S3,F3,Bag,5448
F5184650,Color Agent23,S1,F1,Bag,6220
F5211529,Color Agent26,S1,F6,Bag,20064
F5212487,Color Agent10,S3,F11,Box,419
F5251225,Color Agent40,S4,F1,Box,612
F5305205,Color Agent38,S3,F11,Bag,4328
F5308770,Color Agent37,S1,F1,Box,941
F5324951,Color Agent27,S5,F4,Bag,7956
F5331516,Color Agent19,S5,F7,Bag,4764
F5351528,Color Agent29,S2,F5,Bag,6280
F5373564,Color Agent13,S5,F6,Bag,4396
F5389727,Color Agent7,S2,F6,Bag,7968
F5393945,Color Agent20,S4,F2,Bag,11728
F5397607,Color Agent16,S3,F12,Box,987
F5407123,Color Agent30,S5,F3,Box,1072
F5421821,Color Agent16,S4,F9,Bag,10692
F5462372,Color Agent39,S4,F4,Bag,5044
F5464912,Color Agent11,S2,F10,Bag,4912
F5493684,Color Agent36,S3,F10,Box,1141
F5505444,Color Agent21,S2,F10,Bag,7372
F5515397,Color Agent1,S2,F12,Box,831
F5537204,Color Agent10,S4,F6,Bag,11492
F5625978,Color Agent25,S4,F4,Bag,6332
F5641106,Color Agent38,S3,F9,Bag,10684
F5700594,Color Agent34,S4,F7,Bag,7796
F5723977,Color Agent31,S1,F5,Box,732
F5785058,Color Agent22,S1,F2,Bag,6808
F5823983,Color Agent2,S3,F3,Bag,8472
F5836520,Color Agent37,S4,F7,Box,1191
F5854339,Color Agent6,S1,F10,Bag,5348
F5864310,Color Agent2,S1,F10,Bag,3252
F5902631,Color Agent36,S2,F11,Bag,11308
F5945774,Color Agent1,S1,F7,Bag,12380
F5976017,Color Agent15,S5,F6,Box,617
F6002636,Color Agent10,S2,F9,Box,594
F6005611,Color Agent3,S3,F10,Bag,9440
F6016383,Color Agent9,S2,F12,Bag,9584
F6020207,Color Agent18,S2,F12,Bag,6024
F6033418,Color Agent2,S2,F8,Box,484
F6036309,Color Agent12,S4,F3,Box,619
F6065898,Color Agent10,S1,F10,Box,540
F6084270,Color Agent24,S5,F5,Box,1011
F6086456,Color Agent37,S5,F6,Bag,15108
F6101313,Color Agent32,S3,F12,Bag,7528
F6108401,Color Agent1,S4,F2,Bag,11452
F6140972,Color Agent18,S1,F6,Bag,6644
F6153345,Color Agent37,S1,F7,Bag,10412
F6228524,Color Agent2,S4,F9,Box,559
F6258376,Color Agent10,S4,F6,Bag,6132
F6295782,Color Agent39,S3,F6,Box,531
F6333026,Color Agent15,S5,F3,Bag,7840
F6371024,Color Agent22,S1,F9,Box,1355
F6387432,Color Agent4,S1,F6,Box,1092
F6397460,Color Agent29,S2,F11,Bag,9812
F6459166,Color Agent4,S3,F6,Bag,6208
F6483495,Color Agent24,S1,F7,Box,501
F6555894,Color Agent25,S5,F12,Bag,5952
F6560583,Color Agent21,S3,F6,Box,1138
F6572785,Color Agent28,S5,F11,Box,309
F6611937,Color Agent17,S5,F9,Bag,5396
F6736456,Color Agent1,S4,F5,Bag,4620
F6738032,Color Agent9,S1,F11,Bag,17680
F6746302,Color Agent2,S5,F11,Box,519
F6786610,Color Agent19,S2,F8,Bag,8976
F6814274,Color Agent39,S5,F4,Box,892
F6885449,Color Agent40,S4,F12,Box,698
F6919501,Color Agent36,S3,F5,Box,689
F6928433,Color Agent36,S2,F6,Bag,4736
F6931558,Color Agent30,S1,F2,Box,483
F6955328,Color Agent32,S3,F8,Bag,6996
F7011693,Color Agent11,S5,F2,Bag,6252
F7020196,Color Agent10,S3,F7,Box,924
F7026132,Color Agent12,S4,F2,Bag,5488
F7089449,Color Agent19,S1,F1,Bag,7052
F7097770,Color Agent31,S4,F5,Bag,5728
F7143339,Color Agent21,S5,F3,Box,1269
F7144125,Color Agent24,S2,F12,Bag,6852
F7192336,Color Agent24,S5,F1,Bag,12060
F7195625,Color Agent27,S2,F8,Bag,9280
F7203999,Color Agent5,S2,F8,Box,812
F7205287,Color Agent20,S3,F8,Bag,7628
F7205905,Color Agent36,S5,F1,Bag,8136
F7232650,Color Agent13,S2,F12,Bag,13304
F7339592,Color Agent39,S1,F10,Bag,3756
F7348059,Color Agent18,S3,F3,Bag,6968
F7380001,Color Agent37,S2,F1,Bag,9460
F7501203,Color Agent15,S4,F8,Bag,11496
F7505553,Color Agent25,S1,F5,Bag,8068
F7544943,Color Agent24,S3,F11,Bag,5040
F7554112,Color Agent2,S2,F12,Bag,5564
F7579348,Color Agent25,S5,F9,Box,615
F7583212,Color Agent32,S5,F10,Bag,11224
F7593771,Color Agent16,S5,F9,Bag,5736
F7606907,Color Agent29,S3,F7,Bag,6544
F7656178,Color Agent7,S2,F5,Bag,3028
F7668219,Color Agent26,S2,F12,Box,764
F7735067,Color Agent20,S3,F12,Bag,4440
F7736584,Color Agent22,S5,F1,Bag,6484
F7739980,Color Agent10,S4,F11,Bag,5540
F7803880,Color Agent16,S1,F7,Box,614
F7895100,Color Agent9,S4,F3,Bag,5696
F7929090,Color Agent7,S3,F9,Bag,7568
F7937713,Color Agent20,S1,F7,Bag,7836
